,bfe28199-ae60-41ee-8296-6c0ad1a5f237,e51aba7d-76b3-4781-852f-fea474674e34,fd9a7eab-529f-427b-8cde-49a62263833f,425b92af-8faf-4e4a-bda3-26c1a5d3d9bc
The Razor's Edge,77.0,73.0,76.0,56.0
Tank,77.0,73.0,73.0,56.0
Moscow on the Hudson,77.0,73.0,76.0,56.0
Ninja III: The Domination,77.0,73.0,73.0,56.0
The Warrior and the Sorceress,76.0,76.0,76.0,76.0
The Evil That Men Do,77.0,73.0,73.0,56.0
Firstborn,77.0,73.0,76.0,56.0
Cut and Run,77.0,73.0,76.0,56.0
Teachers,77.0,73.0,76.0,56.0
Repentance,73.0,69.0,69.0,55.0
The River,77.0,73.0,76.0,56.0
Razorback,77.0,73.0,76.0,56.0
A Soldier's Story,55.0,55.0,55.0,55.0
Comfort and Joy,77.0,73.0,76.0,56.0
Meatballs Part II,67.0,76.0,70.0,56.0
Lassiter,77.0,73.0,73.0,56.0
Irreconcilable Differences,77.0,73.0,76.0,56.0
City Heat,77.0,73.0,73.0,56.0
Under the Volcano,55.0,55.0,55.0,55.0
Iceman,77.0,73.0,76.0,56.0
Flashpoint,77.0,73.0,73.0,56.0
The Little Drummer Girl,77.0,73.0,76.0,56.0
Lust in the Dust,77.0,73.0,76.0,56.0
Hot Moves,81.0,69.0,69.0,56.0
Oxford Blues,77.0,73.0,76.0,56.0
Thief of Hearts,77.0,73.0,76.0,56.0
The Brother from Another Planet,77.0,73.0,76.0,56.0
No Small Affair,77.0,73.0,76.0,56.0
Broadway Danny Rose,56.0,56.0,56.0,56.0
Best Defense,66.0,76.0,66.0,56.0
Micki + Maude,77.0,73.0,76.0,56.0
Protocol,77.0,73.0,76.0,56.0
Exterminator 2,73.0,76.0,72.0,73.0
American Dreamer,82.0,73.0,76.0,53.0
The Lonely Guy,77.0,73.0,76.0,56.0
Choose Me,77.0,73.0,76.0,56.0
Making the Grade,82.0,73.0,76.0,53.0
Full Moon in Paris,56.0,56.0,56.0,56.0
Unfaithfully Yours,77.0,73.0,76.0,56.0
Impulse,77.0,73.0,76.0,56.0
Mrs. Soffel,77.0,73.0,76.0,56.0
Garbo Talks,77.0,73.0,76.0,56.0
Country,82.0,73.0,76.0,53.0
Cheech & Chong's the Corsican Brothers,66.0,76.0,66.0,56.0
Purple Hearts,77.0,73.0,76.0,56.0
Give My Regards to Broad Street,77.0,73.0,76.0,56.0
Songwriter,77.0,73.0,76.0,56.0
Finders Keepers,77.0,73.0,76.0,56.0
The Bostonians,77.0,73.0,76.0,56.0
Body Rock,76.0,76.0,76.0,76.0
The River Rat,77.0,73.0,76.0,56.0
Just the Way You Are,77.0,73.0,76.0,56.0
Until September,77.0,73.0,76.0,56.0
Crackers,77.0,73.0,76.0,56.0
Kaos,56.0,56.0,56.0,56.0
Misunderstood,77.0,73.0,76.0,56.0
Mike's Murder,77.0,73.0,76.0,56.0
The Buddy System,77.0,73.0,76.0,56.0
A Private Function,77.0,73.0,76.0,56.0
Scandalous,66.0,76.0,66.0,56.0
"Oh, God! You Devil",77.0,73.0,76.0,56.0
The Bay Boy,77.0,73.0,76.0,56.0
Heavenly Bodies,77.0,73.0,76.0,56.0
Heartbreakers,77.0,73.0,76.0,56.0
Champions,79.0,76.0,65.0,56.0
A Sunday in the Country,55.0,55.0,55.0,55.0
Mass Appeal,77.0,73.0,76.0,56.0
Windy City,77.0,73.0,76.0,56.0
Lovelines,77.0,73.0,76.0,56.0
The Bear,79.0,76.0,65.0,55.0
Weekend Pass,66.0,76.0,66.0,56.0
Over the Brooklyn Bridge,77.0,73.0,76.0,56.0
Fast Talking,77.0,73.0,76.0,56.0
Lily in Love,74.0,73.0,76.0,56.0
Winter Flight,55.0,55.0,55.0,55.0
Almost You,77.0,73.0,76.0,56.0
The Adventures of Pinocchio,77.0,73.0,69.0,46.0
Blame It on the Night,81.0,68.0,76.0,56.0
Petit Con,77.0,73.0,76.0,56.0
Weird Science,77.0,73.0,76.0,56.0
The Goonies,57.0,57.0,72.0,55.0
Back to the Future,55.0,55.0,55.0,55.0
To Live and Die in L.A.,88.0,72.0,72.0,55.0
Clue,56.0,56.0,56.0,56.0
The Breakfast Club,56.0,56.0,56.0,56.0
Cocoon,77.0,73.0,76.0,58.0
Rambo: First Blood Part II,77.0,73.0,73.0,56.0
Mask,79.0,76.0,63.0,55.0
Legend,79.0,76.0,65.0,56.0
The Return of the Living Dead,56.0,56.0,56.0,56.0
St. Elmo's Fire,77.0,73.0,76.0,56.0
Brazil,55.0,55.0,55.0,55.0
Pale Rider,55.0,55.0,55.0,55.0
Teen Wolf,77.0,73.0,76.0,56.0
Real Genius,56.0,56.0,56.0,56.0
Commando,77.0,73.0,73.0,56.0
Witness,55.0,55.0,55.0,55.0
The Color Purple,55.0,55.0,55.0,55.0
Silverado,88.0,72.0,72.0,55.0
Rocky IV,77.0,73.0,76.0,56.0
Better Off Dead...,56.0,56.0,56.0,56.0
Ran,88.0,72.0,72.0,55.0
Ladyhawke,66.0,67.0,66.0,55.0
A Room with a View,58.0,58.0,58.0,58.0
Red Sonja,77.0,73.0,73.0,56.0
Fright Night,77.0,73.0,76.0,56.0
Explorers,77.0,73.0,76.0,56.0
Flesh+Blood,77.0,73.0,76.0,56.0
Mad Max Beyond Thunderdome,77.0,73.0,73.0,56.0
After Hours,56.0,56.0,56.0,56.0
A View to a Kill,77.0,73.0,73.0,56.0
Fletch,77.0,73.0,76.0,56.0
Perfect,76.0,76.0,76.0,76.0
A Nightmare on Elm Street 2: Freddy's Revenge,77.0,73.0,70.0,56.0
Summer Rental,77.0,73.0,70.0,56.0
Lifeforce,77.0,73.0,73.0,56.0
Pee-wee's Big Adventure,55.0,55.0,55.0,55.0
Out of Africa,79.0,76.0,63.0,55.0
Day of the Dead,55.0,55.0,55.0,55.0
Just One of the Guys,77.0,73.0,76.0,56.0
National Lampoon's European Vacation,77.0,73.0,76.0,56.0
Spies Like Us,77.0,73.0,76.0,56.0
House,77.0,73.0,76.0,56.0
Police Academy 2: Their First Assignment,77.0,73.0,70.0,56.0
The Black Cauldron,77.0,73.0,69.0,46.0
Friday the 13th: A New Beginning,76.0,76.0,76.0,76.0
Runaway Train,88.0,72.0,72.0,55.0
Re-Animator,56.0,56.0,56.0,56.0
Brewster's Millions,77.0,73.0,76.0,56.0
The Last Dragon,77.0,73.0,73.0,56.0
The Legend of Billie Jean,77.0,73.0,73.0,56.0
Desperately Seeking Susan,77.0,73.0,76.0,56.0
Girls Just Want to Have Fun,77.0,73.0,76.0,56.0
Vision Quest,77.0,73.0,76.0,56.0
Jagged Edge,77.0,73.0,76.0,56.0
Enemy Mine,77.0,73.0,73.0,56.0
Tuff Turf,77.0,73.0,73.0,56.0
Volunteers,77.0,73.0,76.0,56.0
The Jewel of the Nile,77.0,73.0,73.0,56.0
Once Bitten,77.0,73.0,76.0,56.0
Private Resort,77.0,73.0,76.0,56.0
Police Story,88.0,72.0,72.0,55.0
Into the Night,77.0,73.0,73.0,56.0
The Sure Thing,56.0,56.0,56.0,56.0
White Nights,77.0,73.0,76.0,56.0
Mischief,77.0,73.0,76.0,56.0
Silver Bullet,77.0,73.0,76.0,56.0
Kiss of the Spider Woman,57.0,57.0,93.0,55.0
My Beautiful Laundrette,77.0,73.0,76.0,56.0
Young Sherlock Holmes,77.0,73.0,76.0,56.0
Smooth Talk,77.0,73.0,76.0,56.0
Porky's Revenge,66.0,76.0,66.0,56.0
Year of the Dragon,77.0,73.0,73.0,56.0
Prizzi's Honor,77.0,73.0,76.0,56.0
The Quiet Earth,77.0,73.0,76.0,56.0
Tampopo,57.0,57.0,72.0,55.0
Creature,76.0,76.0,76.0,76.0
Secret Admirer,77.0,73.0,76.0,56.0
"No Retreat, No Surrender",81.0,68.0,73.0,56.0
D.A.R.Y.L.,77.0,73.0,76.0,56.0
Mishima: A Life in Four Chapters,79.0,76.0,63.0,55.0
A Chorus Line,77.0,73.0,76.0,56.0
Cat's Eye,77.0,73.0,76.0,56.0
Murphy's Romance,56.0,56.0,56.0,56.0
Heaven Help Us,77.0,73.0,76.0,56.0
American Flyers,77.0,73.0,76.0,56.0
The Journey of Natty Gann,55.0,55.0,55.0,55.0
Trouble in Mind,77.0,73.0,76.0,56.0
Fandango,77.0,73.0,76.0,56.0
Gotcha!,77.0,73.0,73.0,56.0
Death Wish 3,77.0,73.0,73.0,56.0
King Solomon's Mines,77.0,73.0,73.0,56.0
American Warrior,77.0,73.0,73.0,56.0
The Emerald Forest,77.0,73.0,72.0,55.0
The Holcroft Covenant,77.0,73.0,73.0,56.0
The Falcon and the Snowman,79.0,76.0,65.0,56.0
Transylvania 6-5000,66.0,76.0,66.0,56.0
Desert Hearts,55.0,55.0,55.0,55.0
The Heavenly Kid,77.0,73.0,76.0,56.0
The Purple Rose of Cairo,56.0,56.0,56.0,56.0
The Man with One Red Shoe,77.0,73.0,76.0,56.0
My Life as a Dog,55.0,55.0,55.0,55.0
My Science Project,77.0,73.0,73.0,56.0
Seven Minutes in Heaven,77.0,73.0,76.0,56.0
Fraternity Vacation,77.0,73.0,76.0,56.0
The New Kids,77.0,73.0,76.0,56.0
Tomboy,66.0,76.0,66.0,56.0
Invasion U.S.A.,77.0,73.0,73.0,56.0
Revolution,77.0,73.0,76.0,56.0
Lost in America,56.0,56.0,56.0,56.0
Subway,77.0,73.0,76.0,56.0
Moving Violations,77.0,73.0,76.0,56.0
Nomads,77.0,73.0,76.0,56.0
Fool for Love,77.0,73.0,76.0,56.0
Baby: Secret of the Lost Legend,77.0,73.0,76.0,56.0
Code of Silence,77.0,73.0,73.0,56.0
Crimewave,77.0,73.0,76.0,56.0
Gymkata,73.0,76.0,72.0,73.0
Sweet Dreams,79.0,76.0,63.0,55.0
The Slugger's Wife,82.0,76.0,70.0,53.0
Avenging Angel,73.0,76.0,72.0,73.0
Santa Claus: The Movie,77.0,73.0,76.0,56.0
That Was Then... This Is Now,77.0,73.0,76.0,56.0
Agnes of God,77.0,73.0,76.0,56.0
Rustlers' Rhapsody,77.0,73.0,76.0,56.0
The Adventures of Mark Twain,57.0,57.0,68.0,46.0
Stick,77.0,73.0,73.0,56.0
The Bride,77.0,73.0,76.0,56.0
Morons from Outer Space,66.0,76.0,66.0,56.0
Godzilla 1985,77.0,73.0,70.0,56.0
Plenty,77.0,67.0,76.0,56.0
King David,77.0,73.0,72.0,55.0
The Trip to Bountiful,55.0,55.0,55.0,55.0
Missing in Action 2: The Beginning,77.0,73.0,73.0,56.0
The Protector,87.0,73.0,73.0,55.0
The Mean Season,77.0,73.0,76.0,56.0
Turk 182,77.0,73.0,76.0,56.0
The Official Story,55.0,55.0,55.0,55.0
Krush Groove,77.0,73.0,76.0,56.0
He-Man and She-Ra: The Secret of the Sword,57.0,57.0,68.0,46.0
Warning Sign,77.0,73.0,76.0,56.0
Creator,77.0,73.0,76.0,56.0
Taipei Story,86.0,70.0,72.0,60.0
Otac na sluzbenom putu,55.0,55.0,55.0,55.0
The Aviator,80.0,76.0,75.0,55.0
Starchaser: The Legend of Orin,77.0,73.0,69.0,46.0
Maxie,77.0,73.0,76.0,56.0
DEFCON-4,73.0,76.0,72.0,73.0
The Care Bears Movie,77.0,73.0,69.0,46.0
Sylvester,77.0,73.0,76.0,56.0
Radioactive Dreams,77.0,73.0,73.0,56.0
Twice in a Lifetime,77.0,73.0,76.0,56.0
Dance with a Stranger,79.0,76.0,65.0,56.0
Water,77.0,73.0,76.0,56.0
One Magic Christmas,77.0,73.0,76.0,56.0
Echo Park,77.0,73.0,76.0,56.0
O.C. and Stiggs,77.0,73.0,76.0,56.0
The Good Father,77.0,73.0,76.0,56.0
Fever Pitch,77.0,76.0,76.0,56.0
The Doctor and the Devils,77.0,73.0,76.0,56.0
Head Office,77.0,73.0,76.0,56.0
Eleni,57.0,57.0,72.0,55.0
Dreamchild,79.0,76.0,65.0,56.0
Defense of the Realm,77.0,73.0,76.0,56.0
Bad Medicine,66.0,76.0,66.0,56.0
Wetherby,77.0,73.0,76.0,56.0
Compromising Positions,77.0,73.0,76.0,56.0
Rainbow Brite and the Star Stealer,81.0,68.0,69.0,46.0
Alamo Bay,77.0,73.0,73.0,56.0
Three Men and a Cradle,77.0,73.0,76.0,56.0
In the Shadow of Kilimanjaro,77.0,73.0,73.0,56.0
Rappin',76.0,76.0,76.0,76.0
Bal na vodi,55.0,55.0,55.0,55.0
Certain Fury,77.0,73.0,70.0,56.0
Bliss,77.0,73.0,76.0,56.0
Code Name: Emerald,77.0,73.0,73.0,56.0
Colonel Redl,79.0,76.0,63.0,55.0
Thunder Run,73.0,76.0,72.0,73.0
Marie,79.0,76.0,65.0,56.0
Movers & Shakers,66.0,76.0,66.0,56.0
La Cage aux Folles 3: The Wedding,67.0,76.0,70.0,56.0
James Joyce's Women,77.0,73.0,76.0,56.0
Turtle Diary,77.0,73.0,76.0,56.0
Maccheroni,77.0,73.0,76.0,56.0
My Man Adam,77.0,73.0,76.0,56.0
Sudden Death,77.0,76.0,73.0,56.0
One Woman or Two,77.0,73.0,76.0,56.0
Joshua Then and Now,77.0,73.0,76.0,56.0
On the Edge,77.0,73.0,76.0,56.0
The Girl in the Picture,77.0,73.0,76.0,56.0
Here Come the Littles,77.0,73.0,69.0,46.0
Came a Hot Friday,77.0,73.0,76.0,56.0
Wuthering Heights,77.0,73.0,76.0,56.0
The Frog Prince,77.0,73.0,76.0,56.0
Lune de miel,76.0,76.0,76.0,76.0
Tea in the Harem,77.0,73.0,76.0,56.0
Mr. Love,77.0,73.0,76.0,56.0
Death of an Angel,77.0,73.0,76.0,56.0
Sincerely Charlotte,77.0,73.0,76.0,56.0
Top Gun,77.0,73.0,73.0,56.0
Aliens,88.0,72.0,72.0,55.0
Stand by Me,55.0,55.0,55.0,55.0
Ferris Bueller's Day Off,56.0,56.0,56.0,56.0
Crocodile Dundee,77.0,73.0,73.0,56.0
Labyrinth,55.0,55.0,55.0,55.0
Highlander,88.0,72.0,72.0,55.0
Big Trouble in Little China,88.0,72.0,72.0,55.0
Pretty in Pink,77.0,73.0,76.0,56.0
Platoon,55.0,55.0,55.0,55.0
Blue Velvet,55.0,55.0,55.0,55.0
Manhunter,55.0,55.0,55.0,55.0
Howard the Duck,73.0,76.0,72.0,73.0
The Fly,55.0,55.0,55.0,55.0
Little Shop of Horrors,56.0,56.0,56.0,56.0
The Mosquito Coast,77.0,73.0,76.0,58.0
The Karate Kid Part II,77.0,73.0,73.0,56.0
River's Edge,55.0,55.0,55.0,55.0
9½ Weeks,77.0,73.0,76.0,58.0
The Golden Child,77.0,73.0,73.0,56.0
Star Trek IV: The Voyage Home,88.0,72.0,72.0,55.0
Short Circuit,77.0,73.0,76.0,56.0
The Delta Force,77.0,73.0,73.0,56.0
The Name of the Rose,55.0,55.0,55.0,55.0
The Wraith,77.0,73.0,73.0,56.0
The Color of Money,55.0,55.0,55.0,55.0
Hoosiers,57.0,57.0,72.0,55.0
Heartbreak Ridge,77.0,73.0,76.0,56.0
Flight of the Navigator,77.0,73.0,76.0,56.0
Cobra,77.0,73.0,70.0,56.0
Peggy Sue Got Married,77.0,73.0,76.0,56.0
The Mission,55.0,55.0,55.0,55.0
Working Girls,77.0,73.0,76.0,56.0
Youngblood,77.0,73.0,76.0,56.0
Three Amigos!,77.0,73.0,76.0,56.0
Maximum Overdrive,77.0,73.0,73.0,56.0
Lucas,77.0,73.0,76.0,56.0
Friday the 13th Part VI: Jason Lives,77.0,73.0,76.0,56.0
The Money Pit,77.0,73.0,76.0,56.0
Back to School,77.0,73.0,76.0,56.0
Betty Blue,55.0,55.0,55.0,55.0
About Last Night,77.0,73.0,76.0,56.0
Critters,77.0,73.0,76.0,56.0
The Texas Chainsaw Massacre 2,77.0,73.0,76.0,56.0
Iron Eagle,77.0,73.0,73.0,58.0
One Crazy Summer,77.0,73.0,76.0,56.0
From Beyond,81.0,68.0,76.0,56.0
Sid and Nancy,79.0,76.0,63.0,55.0
Henry: Portrait of a Serial Killer,79.0,76.0,63.0,55.0
Mona Lisa,55.0,55.0,55.0,55.0
Police Academy 3: Back in Training,77.0,73.0,76.0,56.0
Night of the Creeps,77.0,73.0,76.0,56.0
The Sacrifice,55.0,55.0,55.0,55.0
The Hitcher,87.0,73.0,73.0,55.0
Rad,77.0,73.0,76.0,56.0
An American Tail,77.0,73.0,69.0,46.0
SpaceCamp,77.0,73.0,76.0,56.0
Raw Deal,77.0,73.0,73.0,56.0
Hannah and Her Sisters,56.0,56.0,56.0,56.0
The Great Mouse Detective,78.0,66.0,68.0,54.0
Ruthless People,77.0,73.0,76.0,56.0
The Transformers: the Movie,57.0,57.0,68.0,46.0
Wildcats,77.0,73.0,76.0,56.0
Troll,66.0,76.0,66.0,56.0
At Close Range,55.0,55.0,55.0,55.0
The Boy Who Could Fly,77.0,73.0,72.0,55.0
Something Wild,77.0,73.0,72.0,55.0
Heartburn,77.0,73.0,76.0,56.0
Crossroads,66.0,77.0,66.0,56.0
The Clan of the Cave Bear,77.0,73.0,76.0,56.0
She's Gotta Have It,77.0,73.0,76.0,56.0
Running Scared,87.0,73.0,73.0,55.0
8 Million Ways to Die,77.0,73.0,73.0,56.0
Soul Man,77.0,73.0,76.0,56.0
Down by Law,56.0,56.0,56.0,56.0
Poltergeist II: the Other Side,77.0,73.0,76.0,56.0
Bad Blood,82.0,69.0,69.0,53.0
Psycho III,77.0,73.0,76.0,56.0
Allan Quatermain and the Lost City of Gold,73.0,76.0,72.0,73.0
The Adventures of Milo and Otis,55.0,55.0,55.0,55.0
Caravaggio,79.0,76.0,65.0,56.0
Children of a Lesser God,55.0,55.0,55.0,55.0
Invaders from Mars,77.0,73.0,76.0,56.0
Matador,55.0,55.0,55.0,55.0
Down and Out in Beverly Hills,77.0,73.0,76.0,56.0
April Fool's Day,77.0,73.0,76.0,56.0
The Big Easy,77.0,73.0,76.0,56.0
Pirates,77.0,67.0,73.0,56.0
No Mercy,77.0,73.0,76.0,56.0
Lady Jane,79.0,76.0,63.0,55.0
Club Paradise,77.0,73.0,76.0,56.0
Manon of the Spring,55.0,55.0,55.0,55.0
Gothic,77.0,73.0,70.0,56.0
Armed and Dangerous,77.0,73.0,73.0,56.0
F/X,77.0,73.0,73.0,56.0
King Kong Lives,82.0,76.0,72.0,53.0
Castaway,77.0,73.0,76.0,58.0
Wise Guys,77.0,73.0,76.0,56.0
Solarbabies,73.0,76.0,72.0,73.0
The Manhattan Project,76.0,68.0,68.0,42.0
Trick or Treat,77.0,73.0,76.0,56.0
Body Slam,77.0,73.0,76.0,56.0
Jumpin' Jack Flash,82.0,73.0,76.0,53.0
Fire with Fire,77.0,73.0,76.0,56.0
Gung Ho,77.0,73.0,76.0,56.0
True Stories,56.0,56.0,56.0,56.0
When the Wind Blows,57.0,57.0,68.0,46.0
Murphy's Law,77.0,73.0,73.0,56.0
Deadly Friend,77.0,73.0,76.0,56.0
Jean de Florette,56.0,56.0,56.0,56.0
Reform School Girls,77.0,73.0,76.0,56.0
Band of the Hand,77.0,73.0,73.0,56.0
Vamp,77.0,73.0,76.0,56.0
Nothing in Common,77.0,73.0,76.0,56.0
TerrorVision,81.0,68.0,76.0,56.0
Quicksilver,82.0,73.0,76.0,53.0
52 Pick-Up,77.0,73.0,76.0,56.0
Black Moon Rising,77.0,73.0,73.0,56.0
Extremities,77.0,73.0,76.0,56.0
The Men's Club,76.0,76.0,76.0,76.0
Haunted Honeymoon,77.0,73.0,76.0,56.0
Summer,55.0,55.0,55.0,55.0
Tough Guys,77.0,73.0,76.0,56.0
Eliminators,73.0,76.0,72.0,73.0
The Best of Times,77.0,73.0,76.0,56.0
Firewalker,82.0,73.0,73.0,53.0
Modern Girls,77.0,73.0,76.0,56.0
Witchboard,77.0,73.0,76.0,56.0
Clockwise,77.0,73.0,76.0,56.0
Legal Eagles,77.0,73.0,76.0,56.0
Link,77.0,73.0,76.0,56.0
"Jo Jo Dancer, Your Life Is Calling",79.0,76.0,65.0,56.0
Wanted: Dead or Alive,77.0,73.0,73.0,56.0
American Anthem,76.0,76.0,76.0,76.0
The Morning After,77.0,73.0,76.0,56.0
Crimes of the Heart,82.0,73.0,76.0,53.0
Under the Cherry Moon,66.0,76.0,66.0,56.0
Malcolm,81.0,68.0,68.0,56.0
Meatballs III: Summer Job,66.0,76.0,66.0,56.0
Devil in the Flesh,77.0,73.0,72.0,55.0
Absolute Beginners,77.0,73.0,76.0,56.0
Deadtime Stories,66.0,76.0,66.0,56.0
Avenging Force,77.0,73.0,73.0,56.0
Heat,77.0,73.0,73.0,55.0
Sweet Liberty,77.0,73.0,76.0,56.0
Killer Party,77.0,73.0,76.0,56.0
Out of Bounds,77.0,73.0,73.0,56.0
Wisdom,77.0,73.0,76.0,56.0
Shanghai Surprise,76.0,76.0,76.0,76.0
Power,77.0,73.0,76.0,56.0
A Fine Mess,73.0,76.0,72.0,73.0
Let's Get Harry,77.0,73.0,73.0,56.0
My Chauffeur,77.0,73.0,76.0,56.0
Biggles: Adventures in Time,77.0,73.0,76.0,56.0
Half Moon Street,77.0,73.0,76.0,56.0
Every Time We Say Goodbye,77.0,73.0,76.0,56.0
The Decline of the American Empire,56.0,56.0,56.0,56.0
Hardbodies 2,66.0,76.0,66.0,56.0
The Boy in Blue,79.0,76.0,65.0,56.0
Brighton Beach Memoirs,77.0,73.0,76.0,56.0
The Longshot,77.0,73.0,76.0,56.0
Willy/Milly,77.0,73.0,76.0,56.0
Ginger and Fred,56.0,56.0,56.0,56.0
'Round Midnight,55.0,55.0,55.0,55.0
Violets Are Blue...,77.0,73.0,76.0,56.0
Parting Glances,55.0,55.0,55.0,55.0
The Whoopee Boys,77.0,73.0,76.0,56.0
Tai-Pan,77.0,73.0,76.0,56.0
My Little Pony: The Movie,77.0,73.0,69.0,46.0
Playing for Keeps,82.0,76.0,76.0,53.0
"'night, Mother",55.0,55.0,55.0,55.0
Jake Speed,82.0,73.0,73.0,53.0
The Naked Cage,77.0,73.0,73.0,56.0
Blue City,73.0,76.0,72.0,73.0
That's Life!,77.0,73.0,76.0,56.0
Sky Bandits,82.0,76.0,72.0,53.0
Ménage,56.0,56.0,56.0,56.0
Dream Lover,78.0,76.0,78.0,61.0
Dangerously Close,77.0,73.0,73.0,56.0
The Whistle Blower,77.0,73.0,76.0,56.0
Care Bears Movie II: A New Generation,77.0,73.0,69.0,46.0
Knights of the City,73.0,76.0,70.0,73.0
Born American,73.0,76.0,72.0,73.0
Desert Bloom,82.0,73.0,76.0,53.0
Touch and Go,77.0,73.0,76.0,56.0
Man Facing Southeast,82.0,69.0,69.0,53.0
Nutcracker,55.0,55.0,55.0,55.0
The Fringe Dwellers,77.0,73.0,76.0,56.0
Just Between Friends,77.0,73.0,76.0,56.0
Oviri,79.0,76.0,65.0,56.0
P.O.W. the Escape,73.0,76.0,72.0,73.0
Armed Response,73.0,76.0,72.0,73.0
Duet for One,77.0,73.0,76.0,56.0
Bullies,77.0,73.0,73.0,56.0
Native Son,77.0,73.0,76.0,56.0
The Assault,55.0,55.0,55.0,55.0
Nobody's Fool,77.0,76.0,76.0,56.0
Alien Predator,76.0,76.0,76.0,76.0
Low Blow,73.0,76.0,72.0,73.0
A Man and a Woman: 20 Years Later,77.0,73.0,76.0,56.0
The Princess Bride,63.0,63.0,63.0,63.0
The Lost Boys,63.0,63.0,63.0,63.0
Full Metal Jacket,63.0,63.0,63.0,63.0
Predator,88.0,74.0,72.0,63.0
RoboCop,87.0,73.0,73.0,61.0
Dirty Dancing,63.0,63.0,63.0,63.0
Adventures in Babysitting,77.0,73.0,76.0,56.0
The Untouchables,63.0,63.0,63.0,63.0
Spaceballs,63.0,63.0,63.0,63.0
Raising Arizona,63.0,63.0,63.0,63.0
Lethal Weapon,88.0,74.0,72.0,63.0
Near Dark,88.0,74.0,72.0,63.0
Mannequin,77.0,73.0,76.0,56.0
Masters of the Universe,77.0,73.0,73.0,56.0
Fatal Attraction,77.0,73.0,76.0,56.0
Hellraiser,63.0,63.0,63.0,63.0
Empire of the Sun,88.0,74.0,72.0,63.0
No Way Out,88.0,71.0,72.0,60.0
The Witches of Eastwick,77.0,73.0,76.0,56.0
Some Kind of Wonderful,63.0,63.0,63.0,63.0
The Running Man,77.0,73.0,73.0,56.0
Black Widow,77.0,73.0,76.0,56.0
Angel Heart,63.0,63.0,63.0,63.0
Moonstruck,63.0,63.0,63.0,63.0
Jaws: the Revenge,76.0,76.0,76.0,76.0
Wall Street,63.0,63.0,63.0,63.0
"Good Morning, Vietnam",79.0,68.0,63.0,63.0
A Nightmare on Elm Street 3: Dream Warriors,77.0,73.0,76.0,56.0
"Planes, Trains & Automobiles",63.0,63.0,63.0,63.0
Can't Buy Me Love,77.0,73.0,76.0,56.0
Overboard,77.0,73.0,76.0,56.0
Beverly Hills Cop II,77.0,73.0,73.0,56.0
Superman IV: The Quest for Peace,73.0,76.0,72.0,73.0
The Secret of My Success,77.0,73.0,76.0,56.0
Withnail & I,63.0,63.0,63.0,63.0
Evil Dead II,63.0,63.0,63.0,63.0
Summer School,77.0,73.0,76.0,56.0
Innerspace,77.0,73.0,73.0,56.0
The Living Daylights,77.0,73.0,73.0,56.0
Over the Top,77.0,73.0,73.0,56.0
The Last Emperor,79.0,76.0,63.0,63.0
Less Than Zero,77.0,73.0,76.0,56.0
Three Men and a Baby,77.0,73.0,76.0,56.0
La Bamba,79.0,76.0,65.0,56.0
Revenge of the Nerds II: Nerds in Paradise,77.0,73.0,76.0,56.0
The Monster Squad,88.0,74.0,72.0,63.0
Prince of Darkness,77.0,73.0,76.0,56.0
Wings of Desire,63.0,63.0,63.0,63.0
Maurice,63.0,63.0,63.0,63.0
Broadcast News,63.0,63.0,63.0,63.0
Harry and the Hendersons,77.0,73.0,76.0,56.0
Creepshow 2,77.0,73.0,76.0,56.0
Police Academy 4: Citizens on Patrol,66.0,76.0,66.0,56.0
The Stepfather,77.0,73.0,76.0,56.0
My Best Friend Is a Vampire,77.0,73.0,76.0,56.0
Flowers in the Attic,77.0,73.0,76.0,56.0
*batteries not included,77.0,73.0,76.0,56.0
Roxanne,77.0,73.0,76.0,56.0
Dragnet,77.0,73.0,76.0,56.0
Throw Momma from the Train,77.0,73.0,76.0,56.0
Amazon Women on the Moon,81.0,68.0,76.0,56.0
Teen Wolf Too,66.0,76.0,66.0,56.0
Baby Boom,77.0,73.0,76.0,56.0
84 Charing Cross Road,79.0,76.0,63.0,63.0
The Gate,81.0,68.0,76.0,56.0
Ernest Goes to Camp,77.0,73.0,76.0,56.0
Aria,77.0,73.0,76.0,56.0
Hamburger Hill,77.0,73.0,73.0,56.0
Cherry 2000,77.0,73.0,73.0,56.0
The Hidden,63.0,63.0,63.0,63.0
The Bedroom Window,77.0,73.0,76.0,56.0
Barfly,63.0,63.0,63.0,63.0
Maid to Order,77.0,73.0,76.0,56.0
Blind Date,77.0,73.0,76.0,56.0
Au Revoir les Enfants,63.0,63.0,63.0,63.0
"Rita, Sue and Bob Too",77.0,73.0,76.0,56.0
Hope and Glory,63.0,63.0,63.0,63.0
No Man's Land,77.0,73.0,76.0,56.0
Ishtar,73.0,76.0,72.0,73.0
Tough Guys Don't Dance,66.0,76.0,66.0,56.0
Stakeout,77.0,73.0,73.0,58.0
Babette's Feast,63.0,63.0,63.0,63.0
The Garbage Pail Kids Movie,0.0,0.0,0.0,0.0
Radio Days,63.0,63.0,63.0,63.0
Bagdad Cafe,63.0,63.0,63.0,63.0
Project X,77.0,73.0,76.0,56.0
Three O'Clock High,63.0,63.0,63.0,63.0
The Barbarians,73.0,76.0,70.0,73.0
North Shore,77.0,73.0,73.0,56.0
The Believers,77.0,73.0,72.0,55.0
House II: the Second Story,77.0,73.0,76.0,56.0
